Timestamp,DeviceName,ActionType,FileName,FolderPath,SHA256,Account
"May 16, 2025 4:01:55 AM",massandr-new-vm,FileModified,storage-sync-v2.sqlite,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\storage-sync-v2.sqlite,07120900a087b6c26b2ea5e5fb715075704ea8a3d6e13b3e471f8d0544d9ee48,massadmin
"May 16, 2025 12:05:13 AM",massandr-new-vm,FileCreated,formhistory.sqlite,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\formhistory.sqlite,,massadmin
"May 15, 2025 11:37:51 PM",massandr-new-vm,FileCreated,storage-sync-v2.sqlite,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\storage-sync-v2.sqlite,,massadmin
"May 15, 2025 11:37:45 PM",massandr-new-vm,FileCreated,storage.sqlite,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Data\Browser\profile.default\storage.sqlite,,massadmin
"May 15, 2025 11:37:30 PM",massandr-new-vm,FileCreated,Tor Browser.lnk,C:\Users\massadmin\Desktop\Tor Browser\Tor Browser.lnk,f9a94c43c491e5a0d80732fdb7808470177cdc68a733550b7f2c860ce882da50,massadmin
"May 15, 2025 11:37:19 PM",massandr-new-vm,FileCreated,tor.exe,C:\Users\massadmin\Desktop\Tor Browser\Browser\TorBrowser\Tor\tor.exe,fe6d44cb69780e09c3a39f499e0e668bff9aa54b6cd9f363b753d59af713bea0,massadmin
"May 15, 2025 11:34:08 PM",massandr-new-vm,FileRenamed,tor-browser-windows-x86_64-portable-14.5.1.exe,C:\Users\massadmin\Downloads\tor-browser-windows-x86_64-portable-14.5.1.exe,f563f1d863b08dd0bfe0435049865a9f74ec2d090995d2a73b70161bb2f34f10,massadmin
"May 15, 2025 11:33:43 PM",massandr-new-vm,FileCreated,microsoft-edgeurl=http%3A%2F%2Fwww.torproject.org%2F&timestamp=1747366422064&source=WindowsSearchBox.lnk,C:\Users\massadmin\AppData\Roaming\Microsoft\Windows\Recent\microsoft-edgeurl=http%3A%2F%2Fwww.torproject.org%2F&timestamp=1747366422064&source=WindowsSearchBox.lnk,000fa392bcc65ba132028f837a9dfd2646b519d0fce648a6a1b53fd7276457b2,massadmin
"May 15, 2025 10:39:50 PM",massandr-new-vm,FileCreated,rewards-data-connector.3f0593165e673597e11d[1].js,C:\Users\massadmin\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\INetCache\67DJ226D\rewards-data-connector.3f0593165e673597e11d[1].js,4d72877a65b157bb94dae5a5a9e9296b4f7ca73db3d0dd3a2d28a4c2eb8fbbda,massadmin
"May 15, 2025 10:38:58 PM",massandr-new-vm,FileCreated,windows-shell-channel-store.cb74334b90bc1ec42a53[1].js,C:\Users\massadmin\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\AC\INetCache\XUJE99BR\windows-shell-channel-store.cb74334b90bc1ec42a53[1].js,da1c0781808e4e48fe991958a049d7ba3b4f38bfb09b13e75b789985ac62fb7b,massadmin
"May 15, 2025 10:36:58 PM",massandr-new-vm,FileCreated,{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_narrator_exe,C:\Users\massadmin\AppData\Local\Packages\Microsoft.Windows.Search_cw5n1h2txyewy\LocalState\AppIconCache\100\{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}_narrator_exe,190973460b7b1e1fab6daf993087338adabf6889bf0caaa811bbbbf65595ee0f,massadmin
